;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
0;1;1;GRUPO ACS/HOCHTIEF, Madrid, Spain†;32745.2;36275.4;40978.9;38;1;2;2;1;4;33;0;7;Y;GRUPO ACS/HOCHTIEF;Madrid;Spain;2022
1;2;3;VINCI, Nanterre, France†;27410.0;59135.0;50106.0;6;0;21;1;0;4;45;1;11;Y;VINCI;Nanterre;France;2022
2;3;4;CHINA COMMUNICATIONS CONSTRUCTION GROUP LTD., Beijing, China†;21904.8;123706.4;242589.7;14;9;0;1;2;0;73;0;0;Y;CHINA COMMUNICATIONS CONSTRUCTION GROUP LTD.;Beijing;China;2022
3;4;5;BOUYGUES, Paris, France†;17367.0;33024.0;30058.0;24;2;7;0;0;1;60;0;2;Y;BOUYGUES;Paris;France;2022
4;5;6;STRABAG SE, Vienna, Austria†;15216.0;18267.6;22755.2;31;0;1;4;2;5;56;0;0;Y;STRABAG SE;Vienna;Austria;2022
5;6;7;POWER CONSTRUCTION CORP . OF CHINA, Beijing, China†;13703.2;79884.2;155876.6;4;0;68;4;1;0;22;0;0;Y;POWER CONSTRUCTION CORP . OF CHINA;Beijing;China;2022
6;7;9;CHINA STATE CONSTRUCTION ENGINEERING CORP . LTD., Beijing, China†;12315.5;241813.2;505171.4;74;3;2;1;0;2;15;0;0;Y;CHINA STATE CONSTRUCTION ENGINEERING CORP . LTD.;Beijing;China;2022
7;8;8;SKANSKA AB, Stockholm, Sweden†;11347.9;14679.3;17900.0;45;4;3;1;1;3;39;0;2;Y;SKANSKA AB;Stockholm;Sweden;2022
8;9;10;FERROVIAL, Madrid, Spain ;9650.4;10888.2;7113.8;22;0;4;3;6;0;63;0;0;N;FERROVIAL;Madrid;Spain;2022
9;10;11;CHINA RAILWAY CONSTRUCTION CORP . LTD., Beijing, China†;9012.0;159837.0;436994.0;17;0;2;3;0;0;75;0;0;Y;CHINA RAILWAY CONSTRUCTION CORP . LTD.;Beijing;China;2022
10;11;13;CHINA RAILWAY GROUP LTD., Beijing, China†;7421.4;166360.1;423052.0;11;0;0;1;1;3;75;0;0;Y;CHINA RAILWAY GROUP LTD.;Beijing;China;2022
11;12;14;SAIPEM SPA, San Donato Milanese, Italy†;7062.0;7332.0;8028.0;0;0;8;0;0;89;3;0;0;Y;SAIPEM SPA;San Donato Milanese;Italy;2022
12;13;16;HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD., Seoul, South Korea ;5759.4;16108.4;NA;19;8;15;1;0;47;10;0;0;N;HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;South Korea;2022
13;14;15;EIFFAGE, Velizy-Villacoublay, France†;5654.0;18079.0;18250.0;28;8;23;4;1;8;28;1;1;Y;EIFFAGE;Velizy-Villacoublay;France;2022
14;15;12;FLUOR, Irving, Texas, U.S.A.†;5534.7;8810.2;8752.5;6;0;1;0;0;86;2;0;4;Y;FLUOR; Irving,Texas;U.S.A.;2022
15;16;18;WEBUILD SPA, Milan, Italy†;5386.5;7913.1;12764.4;8;0;1;25;9;0;52;0;1;Y;WEBUILD SPA;Milan;Italy;2022
16;17;21;CHINA ENERGY ENGINEERING CORP . LTD., Beijing, China†;5365.1;35297.3;128991.2;2;0;71;10;0;9;6;0;1;Y;CHINA ENERGY ENGINEERING CORP . LTD.;Beijing;China;2022
17;18;17;ROYAL BAM GROUP NV, Bunnik, Netherlands†;5324.0;8666.0;NA;0;0;0;0;0;0;0;0;0;Y;ROYAL BAM GROUP NV;Bunnik;Netherlands;2022
